odsCode,name
C82611,The Masharani Practice
L83039,Southway Surgery
L83655,Wonford Green Surgery
L83083,Bideford Medical Centre
M85079,Eden Court Medical Practice
C81040,Park Lane Surgery
M86032,Holbrooks Health Team
C81017,Arthur Medical Centre
Y02567,Hodge Hill Family Practice
M85669,Tudor Practice Stockland Green
C82019,Sturdee Road Health And Wellbeing Centre
C81638,Castle Street Medical Centre
Y00568,Foxhayes Practice
M85117,Bartley Green Medical Practice
L83663,Black Torrington Surgery
C81113,Mickleover Surgery
M85797,Hockley Medical Practice
M85042,Selly Park Surgery
C81616,Peartree Medical Centre
C82119,Narborough Road Surgery
C82656,Field Street Surgery
L83128,Bramblehaies Surgery
Y02442,St Thomas Road Surgery
Y02686,Bowling Green Street Surgery
M85733,Moor Green Lane Med.Ctr.
Y02469,Heron Gp Practice
M85070,Reservoir Road Surgery
C82092,Aylestone Health Centre
C82039,Kingsway Surgery
M89015,Northbrook Health Centre
M85009,Hamstead Road Surgery
M85164,Newport Medical Practice
C82098,Hazelmere Medical Centre
M85792,Cotmore Surgery
M85013,Church Lane - Khan
C82002,Countesthorpe Health Centre
M85716,Dr Khuroo's Practice
C85024,High Street Practice
C82660,St Peter's Med Centre (Mansingh & Mehra)
M85170,Gate Medical Centre
M84035,Westside Medical Centre
M85174,The Brook Surgery
M85141,Schoolacre Road Surgery
M85732,Bloomsbury Surgery
M85081,The Dove Medical Practice
M85139,Alpha Medical Practice
M85066,Ward End Medical Centre
C82610,The Parks Medical Centre (B Hainsworth)
M85670,Greenfield Medical Centre
C81652,Derwent Medical Centre
M85118,Baldwins Lane Surgery
M85693,Featherstone Medical Centre
Y00060,The Anchor Centre
M85115,Sutton Road Surgery
M85014,Kingsbury Road Medical Centre
M85094,Yardley Medical Centre
M85158,Apollo Surgery
Y05412,South Wigston Asylum Service
C82670,Inclusion Healthcare
C82676,St Elizabeth's Medical Centre (Ja Wood)
Y00344,Leicester City Assist Practice
F84122,Xx Place Health Centre
F84696,Tredegar Practice
F84640,The Neaman Practice
F84044,Harley Grove Medical Ctr.
F84124,The Project Surgery
F84006,The Shrewsbury Centre
F84666,The Ruiz Medical Practice
F84079,The Wapping Group Practice
F84004,Market Street Health Group
F86022,Ilford Medical Centre
F84717,Royal Docks Medical Practice
F84741,Dr T Krishnamurthy
F84053,Greengate Medical Centre
F84030,Ruston Street Clinic
F84720,Healy Medical Centre
F84677,East End Medical Centre
F84021,London Fields Medical Centre
F84632,The Greenhouse Walk-In
F84694,The Surgery (Brooke Road)
F84668,The Clapton Surgery
F82010,Petersfield Surgery
F84685,The Elm Practice
F84080,Fountayne Road Health Centre
F84711,Rosewood Practice
F82038,Dr Sz Haider's Practice
F84074,The Graham Practice
L85055,Axbridge Surgery
A82646,Longtown Medical Centre
M83123,Birches Head Medical Ctr.
A82055,Aspatria Medical Group
A82014,Caldbeck Surgery
A82029,The Croft Surgery
A82031,Shap Medical Practice
A82620,Glenridding Health Centre
A82004,Alston Medical Practice
A82012,Brampton Medical Practice
M83140,Higherland Surgery
F81048,Loughton Health Centre
M83701,Talke Pits Clinic
B82086,The Danby Practice
F84041,Southgate Road Medical Centre
F81009,The Gold Street Surgery
M83625,Dr Vsr Chadalavada
F81004,The Eden Surgeries
M83670,Keele Practice
F81619,Sydenham House Surgery
A82631,Court Thorn Surgery
F81027,Lister Medical Centre
B81030,Scartho Medical Centre
B82030,Dr Akester & Partners
B87004,Warrengate Medical Centre
C83002,Navenby Cliff Villages Surgery
F81053,Stansted Surgery
B82018,Escrick Surgery
F84714,St. Paul's Way Medical Ctr
F84010,St. Bartholomews Surgery
F84724,Woodgrange Medical Practice
F84016,The Mission Practice
F84698,Aberfeldy Practice
F84092,Glen Road Medical Centre
F84735,The Azad Practice
F82009,North Street Medical Care
F84669,Newham Medical Centre
F84097,Claremont Clinic
F84018,The Nightingale Practice
F82674,Cranham Health Centre
F82055,Hornchurch Healthcare
F82016,Central Park Surgery
F82660,Tulasi Medical Centre
F84072,De Beauvoir Surgery
C83080,The Harrowby Lane Surgery
C88096,Hackenthorpe Medical Centre
C88053,Falkland House Surgery
D82056,Elmham Surgery
C88062,Rustlings Road Medical Centre
D82068,Howdale Surgery
C83038,The Glebe Practice
C83062,Church Walk Surgery
C83029,Branston & Heighington Family Practice
C83003,Beechfield Medical Centre
C83631,The Spalding Gp Surgery
C83042,Marsh Medical Practice
C83067,Dr Longfield And Partners
C83061,North Thoresby Surgery
K83005,Queensway Medical Centre
K83044,Parklands Medical Centre
K83080,Higham Ferrers Surgery
K83040,Woodview Medical Centre
K83076,Weston Favell Medical Centre
K83621,Maple Access Partnership Llp
K83616,The Meadows Surgery
K83012,King Edward Road Surgery
K83048,Brook Medical Centre
K83601,Earls Barton Medical Centre
K83055,Wootton Medical Centre
K83025,The Mounts Medical Centre
K83019,The Long Buckby Practice
K83065,Nene Valley Surgery
K83618,Dr Abbas
K83607,Dr Sumira
E81612,Drs Mirza Sukhani & Partners
P85606,Moorside Medical Practice
M84019,The Atherstone Surgery
M84042,Hazelwood Group Practice
M84005,Chapel End Surgery
Y04882,Chaucer Surgery
K84066,Luther Street Medical Practice
P91019,Partington Central Surgery
P91631,Riddings Family Health Centre
P91617,Family Surgery
C81640,Simmondley Medical Practice
P91011,Shay Lane Medical Centre (Patel)
Y02713,Guide Bridge Medical Practice
Y02936,Millbrook Medical Practice
P89612,Mossley Medical Practice
C81081,Manor House Surgery
L85009,West Somerset Healthcare
E83034,Colney Hatch Lane Surgery
L85050,Luson
P88017,Chadsfield Medical Practice
P84663,The Neville Family Centre
C82035,Park View Surgery
C82097,Charnwood Surgery
P87035,Ordsall Health Surgery
Y03023,St Andrews Health Centre
F81108,Laindon Medical Group
F84034,St. Stephens Health Centre
F84055,The Grove Road Surgery
K84003,Islip Surgery
F86652,The Drive Surgery
F84710,Island Health
F86042,Balfour Road Surgery
F86625,Ll Medical Care Ltd
F84025,Gough Walk Practice
F86007,The Forest Edge Practice
J82035,St Clements Partnership
C84120,Chilwell Valley And Meadows Practice
J82130,Friarsgate Practice
P81130,Padiham Group Practice
P84014,Rk Medical Practice
P81735,Dr A Hussain
P81020,Burnley Group Practice
P81015,Lytham Road Surgery
P81095,Thursby Surgery
P81197,Rosegrove Surgery
P81694,Family Practice
P81692,Beeches Medical Centre
P81668,Fleetwood Surgery
F82670,Jabbar
P81062,Regent House Surgery
C85007,The Dove Valley Pms Practice
A82027,Station House Surgery
P81010,Withnell Health Centre
P81038,The Chorley Surgery
P81136,Dr A Bisarya
P81710,Tarleton Group Practice
P81770,Avenham Surgery
P81687,New Longton Surgery
P81184,Ribbleton Medical Centre
P81160,Oswald Medical Centre
P81780,Riverside Family Practice
P81169,Fishergate Hill Surgery
P81154,Granville House Med Ctre
P84046,Cheetham Hill Primary Care Centre
P81157,Fernbank Surgery
P81737,The Old Links Surgery
P81086,Broadway Medical Centre
P81031,Poplar House Surgery
P81704,Blakewater Health Centre
A82053,Nutwood Medical Practice
P81171,The Euxton Medical Centre
P81181,Kingsfold Medical Centre
N81053,Earnswood Medical Centre
P81695,Aughton Surgery
A82039,Dalton Surgery
P81138,Burscough Family Practice
P81646,Lathom House Surgery
C82040,Orchard Surgery
A82072,Risedale Surgery
A82062,Atkinson Health Centre
A82009,Bridgegate Medical Centre
D81061,George Clare Surgery
A82010,Abbey Road Surgery
P81771,Dr Rc Rautray's Practice
A82007,Duke Street Surgery
P81165,Ightenhill Medical Centre
A82071,Burnett Edgar Medical Ctr
A82077,Liverpool House Surgery
L83081,Yealm Medical Centre
A82033,Waterloo House Surgery
P81067,The Healthcare Centre
P81147,Blackburn Rd Medical Centre
L83148,Chillington Health Centre
B82628,Hunmanby Surgery
P81738,Great Harwood Surgery
E82132,Roysia Surgery
C84035,Crown House Surgery
Y00347,Dr R Baghdjian Surgery
P81084,Hall Green Surgery
A82046,Windermere Health Centre
J81003,Winton Health Centre
P81143,Whittle Surgery
A82647,Cartmel Surgery
A82030,Lunesdale Surgery
P81757,Barrowford Surgery
A82651,Duddon Valley Medical Practice
A82613,Wraysdale House Surgery
A82037,Silloth Group Medical Practice
L85020,Beckington Family Practice
G82229,Sutton Valence Group Practice
J82099,Richmond Surgery
L85006,Crown Medical Centre
D81049,Spinney Surgery
D81615,Thorpe Road
G82085,Snodland Medical Practice
G82135,West Malling Group Practice
G82083,Thornhills Medical Practice
F84083,Bethnal Green Health Ctr.
F86034,Green Lane Goodmayes Medical Practice
F86698,Cranbrook Surgery
F82021,The New Medical Centre
F86703,The Redbridge Surgery
F82014,Kucchai
F82013,Western Road Medical Centre
K81020,Claremont Holyport Surgery
L85001,French Weir Health Centre
M84023,Central Surgery
Y01291,Chingford Medical Practice
C85016,Dr Mellor & Partners
D82104,Acle Medical Partnership
M83012,Leek Health Centre
